tra_drink_name,tra_drink_sweet,tra_drink_sour,tra_drink_body,tra_drink_alc
자연담은 복분자막걸리,4,2,2,6
지란지교,4,3,4,12
지란지교 무화과 탁주,4,3,4,12
지란지교 약청주,3,4,3,15
꽃 와인,3,3,3,11.5
로제와인,3,3,3,12
모리,0,0,3,19
고도리 화이트와인 스위트,3,3,3,10.5
고도리 청수 와인,4,3,2,10.5
고도리 복숭아와인,4,4,2,6.5
동학 1957,2,4,2,13
려,0,0,4,40
그랑꼬또 청수,1,4,4,12
바랑 탁,4,4,3,15
별바랑,3,5,4,17.5
금설,0,0,4,35
미르아토 로제와인,4,3,2,5
사과와인,3,3,2,7
복숭아와인,4,2,3,12
금풍양조,3,2,3,6.9
선호 생막걸리,2,3,1,6
김포특주,3,2,3,15
김포 막걸리,2,3,1,6
화주,0,0,2,40
송이주,2,4,3,13
능이주,1,4,3,13
달홀진주25,0,0,2,25
달홀진주40,0,0,4,40
오롯이 복숭아,2,3,2,9
우주멜론미 스파클링 막걸리,4,1,1,5
하타,2,2,2,16
겨울소주25,0,0,3,25
겨울소주45,0,0,4,45
오산막걸리,2,2,4,6
여유25,0,0,3,25
여유19,0,0,2,19
감천막걸리,3,2,4,6
선비 진,0,0,4,48
토끼 소주(블랙),0,0,4,40
토끼 소주(화이트),0,0,2,23
냥이탁주5,3,3,2,5
냥이탁주9,3,3,3,9
냥이탁주 화이트,3,3,3,10.5
대대포 막걸리,3,2,2,6
진맥소주 22%,0,0,3,22
진맥소주 40%,0,0,4,40
진맥소주 53%,0,0,5,53
볼빨간막걸리 10,2,4,4,10
밀담 24,0,0,4,24
밀담40,0,0,4,40
라봉,2,4,2,5.5
참주가 솔 막걸리,2,2,2,5.5
진도 백주,0,0,4,38
신애유자,3,4,3,5
루드베리,3,4,3,4.5
요새로제,4,4,3,6.4
댄싱사이더 치키피치,3,4,3,4.5
원매,5,0,3,15
서울의 밤 40%,0,0,4,40
서울의 밤 25%,1,0,2,25
샤토미소 랑 화이트와인,3,4,2,12
샤토미소 애플 와인,3,4,2,9
샤토미소 로제 와인,3,3,3,12
샤토미소 아이스와인,5,4,4,12
샤토미소 웨딩 자두와인,3,4,3,12
DOK막걸리,4,2,3,6
얼떨결에 퍼플,3,4,2,6
부안참뽕와인,4,2,3,13
메밀로,0,0,4,25
희양산 막걸리 9도,1,3,2,9
겨울소주 25,0,0,3,25
