이름,종류,도수,유통기한,보관방법,추천음식,단맛,여운,바디,씁쓸,산미,탄산,탄닌,가격,,,,,,,,
자연담은 복분자막걸리,살균탁주,6,제조일로부터 1년,냉장 보관,"전복 버터구이, 삼계탕, 장어구이",4,0,2,1,2,0,0,3250,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/mcu5-1645437591022-%EC%9E%90%EC%97%B0%EB%8B%B4%EC%9D%80%20%EB%B3%B5%EB%B6%84%EC%9E%90%20%EB%A7%89%EA%B1%B8%EB%A6%AC-7.jpg,,,,,,,
지란지교,탁주,12,제조일로부터 90일,냉장 보관,"불족발, 곱창, 훈제오리 냉채",4,0,4,2,3,0,0,16000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/9gfk-1633669822360-%EC%A7%80%EB%9E%80%EC%A7%80%EA%B5%90+%ED%83%81%EC%A3%BC1.jpg,,,,,,,
지란지교 무화과 탁주,탁주,12,제조일로부터 90일,냉장 보관,"불족발, 곱창, 훈제오리 냉채",4,0,4,2,3,0,0,17000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/IrS1-1633053193961-%EC%A7%80%EB%9E%80%EC%A7%80%EA%B5%90+%EB%AC%B4%ED%99%94%EA%B3%BC1.jpg,,,,,,,
지란지교 약주,약주,15,제조일로부터 180일,냉장 보관,"간장 치킨, 굴국, 버섯 볶음",3,0,3,2,4,0,0,25000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/0627-1654681288573-thumb.jpg,,,,,,,
꽃 와인,과실주,11.5,유통기한 없음,직사광선을 피해 서늘한 곳에 보관,,3,0,3,0,3,0,0,19000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/CIwg-1660891902410-1.jpg,,,,,,,
로제와인,과실주,12,유통기한 없음,상온 보관 가능,"과일치즈, 불고기, 로제 떡볶이",3,0,3,0,3,0,2,22000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Q6pS-1637544263955-%EC%83%A4%ED%86%A0%EB%AF%B8%EC%86%8C%20%EB%A1%9C%EC%A0%9C%20%EC%99%80%EC%9D%B8%20%EC%8A%A4%EC%9C%84%ED%8A%B8-2.jpg,,,,,,,
모리,증류식소주,19,유통기한 없음,상온 보관 가능,"버섯 전골, 굴, 오징어 숙회",0,2,3,0,0,0,0,9800,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/43PR-1680503975541-mori+%282%29.jpg,,,,,,,
고도리 화이트와인 스위트,과실주,10.5,유통기한 없음,직사광선을 피해 서늘한 곳에 보관,"조개구이, 닭가슴살, 흰살생선회",3,0,3,0,3,0,0,20000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/B68U-1645516585523-%EA%B3%A0%EB%8F%84%EB%A6%AC%20%ED%99%94%EC%9D%B4%ED%8A%B8%20%EC%99%80%EC%9D%B8%20%EC%8A%A4%EC%9C%84%ED%8A%B8-2.jpg,,,,,,,
고도리 청수 와인,과실주,10.5,유통기한 없음,직사광선을 피해 서늘한 곳에 보관,"과일 샐러드, 고르곤졸라 피자, 흰살생선회",4,0,2,0,3,0,0,25000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/0TWZ-1631758801622-%EA%B3%A0%EB%8F%84%EB%A6%AC+%EC%B2%AD%EC%88%98+%ED%99%94%EC%9D%B4%ED%8A%B8+%EC%99%80%EC%9D%B8-1.jpg,,,,,,,
고도리 복숭아와인,과실주,6.5,유통기한 없음,직사광선을 피해 서늘한 곳에 보관,,4,0,2,0,4,0,2,23000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/xdPQ-1642143289464-gdr%20bsa0.jpg,,,,,,,
