survey_gender,survey_age,survey_taste_type,survey_taste_sweet,survey_taste_sour,survey_taste_body,survey_taste_soda,survey_alcohole,survey_price,survey_drink_answer
0,25,0,4,1,2,0,5,15000,자연담은 복분자막걸리
0,25,1,3,2,2,0,10,5000,우포
0,30,1,4,2,4,0,10,15000,술아 국화주
0,25,3,3,1,4,0,40,45000,담솔
0,20,1,3,2,3,0,15,15000,제주 오메기 맑은 술
1,30,3,3,0,3,0,10,5000,매실원주
0,35,2,3,3,3,1,0,5000,애피소드 상그리아
0,30,3,4,0,3,0,10,45000,원매
0,30,0,3,1,1,1,5,15000,우주멜론미 스파클링 막걸리
1,40,1,3,2,3,0,40,15000,술아 순곡주
0,40,0,3,3,3,0,5,5000,우도 땅콩 전통주
1,25,1,3,3,4,0,10,45000,동짓달 기나긴 밤
0,30,0,4,4,4,0,10,45000,별산막걸리
1,40,0,2,1,2,1,5,5000,참주가 솔 막걸리
0,25,3,2,0,4,0,15,5000,술샘19
1,25,0,3,2,4,0,5,15000,감천막걸리
0,30,3,0,0,4,0,20,100000,고리진
0,20,2,3,3,3,0,5,100000,시나브로 청수 화이트
0,25,3,2,0,2,0,5,5000,매실원주
0,40,0,3,3,3,0,5,5000,우도 땅콩 전통주
1,25,1,3,3,3,0,30,45000,제주 오메기 맑은 술
0,25,0,4,1,2,0,5,15000,자연담은 복분자막걸리
0,25,1,4,2,4,0,15,15000,한산소곡주
1,20,2,5,3,3,0,40,100000,샤토미소 아이스와인
0,30,1,2,4,3,0,10,5000,송이주
0,30,1,0,4,3,0,5,5000,능이주
1,20,2,3,3,2,0,15,5000,조은술 세종 바나나
0,25,3,3,0,3,0,15,5000,매실원주
0,30,0,3,2,2,0,5,5000,대대포 막걸리
1,25,0,4,2,3,0,5,5000,DOK막걸리
1,25,0,3,3,2,0,5,5000,냥이탁주5
0,25,1,3,2,3,0,20,15000,김포특주
0,30,0,3,2,3,0,10,5000,백련 미스티 살균 막걸리
0,30,2,2,3,3,0,5,45000,크라테 미디엄드라이
1,25,1,4,3,1,0,5,5000,매화깊은밤
1,25,0,3,2,2,0,5,5000,대대포 막걸리
0,25,3,1,0,3,0,40,100000,고리진
0,35,1,4,3,4,0,30,45000,경성과하주
0,25,3,3,0,4,0,40,45000,담솔
0,25,1,3,3,2,0,30,15000,감사
0,25,0,4,1,2,0,5,15000,자연담은 복분자막걸리
0,20,1,4,2,4,0,20,15000,한산소곡주
1,25,0,3,2,4,0,10,15000,벗이랑 버찌 홍국
1,30,2,4,3,2,1,0,15000,미르아토 로제와인
0,25,0,3,2,3,0,5,15000,백련 미스티 살균 막걸리
0,25,0,4,1,3,0,0,5000,동래아들
1,20,1,4,1,4,0,15,15000,한산소곡주
