poll_num,poll_taste_sweet,poll_taste_sour,poll_taste_body,poll_alcohol, pool_nearest ,poll_gender,poll_age,poll_purch,poll_sell,"poll_rpurch
"
1,3,2,4,10,술취한 원숭이,1,20,0,,0
2,3,1,4,10,술취한 원숭이,0,25,1,풍정사계,1
3,3,0,1,10,서설,1,20,0,,
4,3,0,4,10,매실원주,0,25,0,,
5,4,1,3,10,동래아들,0,35,1,소곡주,0
6,3,0,3,5,매실원주,0,30,0,,0
7,0,0,0,5,서설,0,30,0,아니오,0
8,3,1,2,10,허니문,1,40,0,,
9,4,0,0,40,오매락,1,20,0,,0
10,3,3,4,10,벗이랑 강황,0,30,1,막걸리,1
11,2,2,3,20,김포특주,0,25,0,,0
12,2,1,3,30,이강주,0,25,0,,
13,3,1,2,20,맑은내일 우포,0,25,1,안동 소주,1
14,5,0,3,5,원매,1,35,0,,0
15,1,0,0,20,서설,1,25,0,,0
16,5,1,0,5,우주멜론미 스파클링 막걸리,0,25,0,,0
17,4,1,3,10,동래아들,1,20,0,,
18,2,2,2,20,하타,0,20,0,,
19,3,2,4,10,술취한 원숭이,1,20,0,,
20,3,1,2,40,오매락,1,20,0,,0
21,4,0,4,10,아이엠더문,1,20,1,막걸리,1
22,2,1,3,20,양촌 우렁이쌀 약청주,1,50,1,진도 홍주,1
23,5,1,1,10,우주멜론미 스파클링 막걸리,1,20,1,,1
24,3,0,2,5,말이야 막걸리야,1,20,0,,0
25,3,2,3,10,추사 블루베리 와인,1,25,0,,1
26,5,0,5,40,아이엠더문,0,20,0,,0
27,3,1,2,10,허니문,0,20,0,,0
28,4,0,3,10,꿀샘 16,1,30,0,,
29,4,2,5,30,한산소곡주,1,20,0,,
30,2,1,2,10,말이야 막걸리야,1,20,0,,0
31,3,1,2,10,허니문,1,20,0,,
32,4,2,1,10,우주멜론미 스파클링 막걸리,1,20,0,,
33,5,0,5,5,아이엠더문,1,25,0,,0
34,5,2,4,5,술아 국화주,1,30,1,막걸리,1
35,3,3,3,5,우도 땅콩 전통주,1,20,0,,0
36,1,0,3,5,양촌 우렁이쌀 약청주,0,30,1,막걸리,0
37,2,0,3,5,매실원주,0,25,0,,
38,1,4,4,40,그랑꼬또 청수,0,25,1,기억 안0,0
39,2,1,1,10,서설,0,25,0,,
40,3,2,1,20,맑은내일 우포,0,50,1,,1
41,1,2,3,30,그리움,0,35,0,,
42,3,3,3,10,고도리 화이트와인 스위트,1,20,0,,0
43,4,3,3,10,만강에 비친 달,1,20,0,,
44,5,3,3,10,호산춘,1,20,1,"막걸리, 이화주",1
45,3,0,3,10,매실원주,1,30,0,,
46,3,3,3,20,삼양춘 약청주,1,25,1,지방에 놀러갔을때 지역 전통주를 구매했는데 정확히 기억은..,1
47,2,0,3,30,이강주,0,20,0,,0
48,3,1,2,10,허니문,1,30,0,,
49,2,3,3,10,해창 막걸리 9도,0,50,0,,0
50,3,1,4,30,세종대왕어주 약청주,1,25,1,"떠먹는 요거트 막걸리, 국화 막걸리, 비아막걸리, 땅콩막걸리, 등",1
51,5,0,3,20,원매,1,20,0,,
52,2,1,0,5,서설,0,20,0,,0
53,4,1,3,10,동래아들,1,20,0,,0
54,0,4,3,30,능이주,1,25,0,,1
55,4,2,2,20,"동백꽃, 제주",1,20,0,,
56,5,2,1,20,"동백꽃, 제주",1,35,0,,0
57,3,2,0,20,서설,0,25,0,,0
58,3,1,2,5,대대포 막걸리,1,30,0,,
59,3,2,3,30,술아 순곡주,0,25,1,안동소주,1
60,2,0,4,10,세종대왕어주 약청주,1,25,0,,
61,3,3,3,10,고도리 화이트와인 스위트,0,25,0,,0
62,5,0,0,5,우주멜론미 스파클링 막걸리,0,35,0,,0
63,5,2,2,5,시나브로 로제와인,0,25,0,,
64,4,0,0,10,우주멜론미 스파클링 막걸리,0,20,0,,0
65,5,0,3,5,원매,0,35,1,정종 (백화수복),0
66,4,2,5,30,한산소곡주,0,35,1,국순당 막걸리,0
67,3,2,3,10,추사 블루베리 와인,0,25,0,,0
68,5,5,0,10,세인트하우스 모과와인,0,25,1,"막걸리,동동주,백화수복",1
69,1,2,4,30,세종대왕어주 약청주,0,25,0,,
70,5,3,2,5,시나브로 로제와인,1,20,0,,0
71,5,0,0,5,우주멜론미 스파클링 막걸리,0,25,1,이강주,0
72,2,3,4,40,동짓달 기나긴 밤,0,25,1,"안동 소주, 진도 홍주, 막걸리 등",1
73,5,5,5,10,샤토미소 아이스와인,1,30,0,,
74,4,2,3,10,복숭아와인,1,20,1,막걸리,1
75,1,0,3,10,모리,0,25,1,원소주,1
76,2,1,3,20,양촌 우렁이쌀 약청주,0,25,0,,
77,4,2,4,10,술아 국화주,1,20,1,막걸리,1
78,4,1,4,10,술아 국화주,0,20,0,,
79,5,0,5,30,아이엠더문,1,20,0,,0
80,4,0,3,20,꿀샘 16,1,20,1,홍주,0
81,3,0,2,20,오매락,1,20,0,,
82,3,2,3,20,김포특주,1,20,1,쏠ssol,1
83,2,2,3,10,해창 막걸리 9도,1,30,1,지역 1행가면 구매하는 듯 해요,1
84,4,2,3,10,복숭아와인,1,20,0,,
85,3,2,4,10,술취한 원숭이,0,20,0,,
86,3,1,2,10,허니문,1,25,1,막걸리,1
87,4,5,4,5,별산막걸리,0,25,1,,1
88,2,0,3,10,술샘19,1,20,0,,
89,3,2,3,30,술아 순곡주,0,20,1,탁주,1
90,2,1,2,20,하타,0,25,1,복순도기,1
91,0,0,0,20,여유19,0,25,0,,0
92,3,2,3,10,추사 블루베리 와인,0,20,0,,
93,5,1,4,10,아이엠더문,1,20,0,,0
