poll_num,poll_taste_sweet,poll_taste_sour,poll_taste_body,poll_alcohol,poll_gender,poll_age,poll_purch,poll_sell,"poll_rpurch
",poll_wish
1,3,2,4,10,여,20 ~ 24,FALSE,,FALSE,
2,3,1,4,10,남,25 ~ 29,TRUE,풍정사계,TRUE,
3,3,0,1,10,여,20 ~ 24,FALSE,,,
4,3,0,4,10,남,25 ~ 29,FALSE,,,
5,4,1,3,10,남,35 ~ 39,TRUE,소곡주,FALSE,철린왕이시여..!!화이팅
6,3,0,3,5,남,30 ~ 34,FALSE,,FALSE,평점 구매수 등 네이버 온라인쇼핑에 있는 기능
7,0,0,0,5,남,30 ~ 34,FALSE,아니오,FALSE,별로요
8,3,1,2,10,여,40 ~ 44,FALSE,,,
9,4,0,0,40이상이상,여,20 ~ 24,FALSE,,FALSE,
10,3,3,4,10,남,30 ~ 34,TRUE,막걸리,TRUE,
11,2,2,3,20,남,25 ~ 29,FALSE,,FALSE,
12,2,1,3,30,남,25 ~ 29,FALSE,,,
13,3,1,2,20,남,25 ~ 29,TRUE,안동 소주,TRUE,
14,5,0,3,5,여,35 ~ 39,FALSE,,FALSE,
15,1,0,0,20,여,25 ~ 29,FALSE,,FALSE,
16,5,1,0,5,남,25 ~ 29,FALSE,,FALSE,
17,4,1,3,10,여,20 ~ 24,FALSE,,,사진과 실물 색감이 똑같았으면 좋겠다.
18,2,2,2,20,남,20 ~ 24,FALSE,,,
19,3,2,4,10,여,20 ~ 24,FALSE,,,
20,3,1,2,40이상이상,여,20 ~ 24,FALSE,,FALSE,
21,4,0,4,10,여,20 ~ 24,TRUE,막걸리,TRUE,
22,2,1,3,20,여,50 이상,TRUE,진도 홍주,TRUE,없음
23,5,1,1,10,여,20 ~ 24,TRUE,,TRUE,
24,3,0,2,5,여,20 ~ 24,FALSE,,FALSE,
25,3,2,3,10,여,25 ~ 29,FALSE,,TRUE,
26,5,0,5,40이상이상,남,20 ~ 24,FALSE,,FALSE,
27,3,1,2,10,남,20 ~ 24,FALSE,,FALSE,
28,4,0,3,10,여,30 ~ 34,FALSE,,,
29,4,2,5,30,여,20 ~ 24,FALSE,,,
30,2,1,2,10,여,20 ~ 24,FALSE,,FALSE,
31,3,1,2,10,여,20 ~ 24,FALSE,,,
32,4,2,1,10,여,20 ~ 24,FALSE,,,
33,5,0,5,5,여,25 ~ 29,FALSE,,FALSE,
34,5,2,4,5,여,30 ~ 34,TRUE,막걸리,TRUE,술을 좋아하지만 잘 마시지 못 하는 사람들을 위한 술 종류와 소개
35,3,3,3,5,여,20 ~ 24,FALSE,,FALSE,다양성..?
36,1,0,3,5,남,30 ~ 34,TRUE,막걸리,FALSE,
37,2,0,3,5,남,25 ~ 29,FALSE,,,
38,1,4,4,40이상,남,25 ~ 29,TRUE,기억 안남,FALSE,
39,2,1,1,10,남,25 ~ 29,FALSE,,,
