survey_num,survey_gender,survey_age,survey_exp,survey_drink_type,survey_drink_name,survey_taste_sweet,survey_taste_sour,survey_taste_body,survey_taste_soda,survey_material,survey_alcohole,survey_price
1,0,25,1,2,내장산 복분자주,4,1,2,1,0,5,15000
2,0,25,0,,,3,2,2,0,0,10,5000
3,0,30,1,2,,4,2,4,0,0,10,15000
4,0,25,1,3,오매락,3,1,4,0,2,40,45000
5,0,20,1,0,원소주,3,2,3,0,2,15,15000
6,1,30,0,,,3,0,3,1,0,10,5000
7,0,35,1,2,,3,3,3,0,0,0,5000
8,0,30,1,1,"벌떡주, 야관문",4,0,3,1,3,10,45000
9,0,30,0,,,3,1,1,1,1,5,15000
10,1,40,1,3,,3,2,3,0,4,40,15000
11,0,40,1,0,여수막걸리,3,3,3,0,2,5,5000
12,1,25,1,2,강홍로,3,3,4,0,3,10,45000
13,0,30,1,2,사과와인,4,4,4,1,0,10,45000
14,1,40,1,0,느린마을막걸리,2,1,2,1,2,5,5000
15,0,25,1,0,"무등산막걸리,밤막걸리",2,0,4,0,0,15,5000
16,1,25,0,,,3,2,4,0,0,5,15000
17,0,30,1,2,진도홍주,0,0,4,0,0,20,100000
18,0,20,0,,,3,3,3,1,2,5,100000
19,0,25,0,,,2,0,2,1,0,5,5000
20,0,40,0,,,3,3,3,1,1,5,5000
21,1,25,1,1,,3,3,3,1,3,30,45000
22,0,25,1,2,내장산 복분자주,4,1,2,1,0,5,15000
23,0,25,1,1,,4,2,4,1,0,15,15000
24,1,20,0,,,5,3,3,1,4,40,100000
25,0,30,0,,,2,4,3,0,0,10,5000
26,0,30,1,,,0,4,3,0,0,5,5000
27,1,20,1,0,목포막걸리,3,3,2,0,0,15,5000
28,0,25,1,1,,3,0,3,0,3,15,5000
29,0,30,0,,,3,2,2,1,0,5,5000
30,1,25,1,3,,4,2,3,1,2,5,5000
31,1,25,0,,,3,3,2,1,0,5,5000
32,0,25,1,3,원소주,3,2,3,1,0,20,15000
33,0,30,1,3,,3,2,3,0,2,10,5000
34,0,30,1,2,오디주,2,3,3,0,0,5,45000
35,1,25,1,0,우도 밤 막걸리,4,3,1,0,2,5,5000
36,1,25,0,,,3,2,2,1,2,5,5000
37,0,25,1,,"Ta0gli0 Gi0, Airag",1,0,3,0,2,40,100000
38,0,35,1,3,"이강주, 홍주, 한산소곡주, 문배주, 죽력고",4,3,4,1,2,30,45000
39,0,25,1,0,홍주,3,0,4,0,2,40,45000
40,0,25,1,1,,3,3,2,0,2,30,15000
41,0,25,1,2,내장산 복분자주,4,1,2,1,0,5,15000
42,0,20,0,,,4,2,4,0,2,20,15000
43,1,25,0,,,3,2,4,1,0,10,15000
44,1,30,1,2,,4,3,2,1,4,0,15000
45,0,25,0,,,3,2,3,1,0,5,15000
46,0,25,0,,,4,1,3,1,0,0,5000
47,1,20,1,3,화요,4,1,4,0,2,15,15000
48,0,20,1,3,"이강주, 벌꿀주",4,3,3,0,4,10,15000
49,0,40,0,,,4,2,4,1,3,5,5000
50,1,20,0,,,3,1,3,0,0,5,5000
51,1,20,0,,,4,3,3,0,0,10,15000
52,1,30,1,1,감홍로,3,3,4,0,1,30,75000
53,1,25,1,0,참이슬,2,3,2,1,3,10,100000
54,1,25,0,,,4,2,4,1,0,0,15000
55,0,30,0,,,4,2,3,1,0,0,15000
56,1,30,1,2,안동소주,3,5,3,1,0,10,15000
57,0,25,1,1,모주,3,2,4,0,3,0,15000
58,0,25,1,0,금정산성막걸리,3,2,0,1,2,5,5000
59,1,40,1,0,알밤막걸리,3,2,3,1,2,5,5000
60,0,25,1,3,안동소주,0,3,4,0,4,40,75000
61,0,25,0,,,4,3,2,1,0,5,15000
62,0,25,1,1,무등산막걸리,4,2,2,0,2,40,15000
63,0,30,1,0,밤막걸리,3,3,3,1,2,15,5000
64,1,20,1,0,병영설성 막걸리,3,2,3,0,4,15,5000
65,0,25,1,3,원소주,3,2,4,1,4,10,15000
66,1,30,1,3,,2,2,3,0,2,20,15000
67,1,25,1,0,모주,4,2,3,0,2,0,15000
68,0,20,1,1,마루,3,4,5,0,2,20,100000
69,0,25,1,2,,1,0,1,1,1,30,15000
70,1,20,0,,,4,0,1,0,0,10,5000
71,0,25,1,2,,4,0,4,1,0,5,5000
72,0,25,1,0,,2,2,4,1,2,10,15000
73,1,35,1,0,홍주,3,3,4,1,4,40,75000
74,0,20,1,3,"안동소주, 느린마을 막걸리",3,2,3,0,2,40,15000
75,0,35,1,3,,2,1,1,0,1,20,15000
76,0,30,0,,,3,2,3,1,2,10,15000
77,0,30,0,,,4,1,4,1,0,5,5000
78,0,35,0,,,1,1,4,1,0,10,5000
79,1,20,1,0,복순도가,3,3,4,1,0,10,15000
